X;Y;objectid;numero_estacion;nombre_estacion;coordenada_x_estacion;coordenada_y_estacion;ubicacion_estacion;zona;troncal_estacion;numero_vagones_estacion;numero_accesos_estacion;biciestacion_estacion;capacidad_biciestacion_estacion;tipo_estacion;biciparqueadero_estacion;latitud_estacion;longitud_estacion;globalid;created_user;created_date;last_edited_user;last_edited_date;codigo_nodo_estacion;componente_wifi;componente_aplificacion;log_replica;id_trazado_troncal
-740.745.615.627.404;466.634.138.453.863;1;2000;Portal Norte;10.034.915.788;10.175.185.086;CL 173;B;Autonorte;0;0;0;0;1;0;475.462.117;-7.404.603.495;{F055422B-BD16-4DCE-BEEF-2AD5D8D0D555};;;TECNICA;2023/08/15 22:43:40+00;7103;;;;TZ008
-740.990.475.915.766;46.468.808.881.934;2;2001;Calle 187;10.036.724.828;10.184.815.753;CL 184;B;Autonorte;4;1;0;0;4;0;476.333.017;-7.404.440.387;{AD7C6926-90EC-428C-A4D8-46FBB826A717};;;editorTroncal;2023/12/14 21:42:19+00;6103;;;;TZ016
-740.786.991.285.729;464.539.603.019.043;3;2101;Toberin - Foundever;10.033.546.798;10.165.859.596;CL 165;B;Autonorte;5;1;0;0;4;0;474.618.812;-7.404.726.932;{FE684396-CDD5-44E5-A998-85528256441F};;;editorTroncal;2023/12/05 18:53:22+00;7106;;;;TZ008
-740.714.966.957.184;461.089.732.815.177;4;2102;Calle 161;10.032.751.891;10.161.131.876;CL 160;B;Autonorte;4;1;0;0;4;0;474.191.284;-7.404.798.602;{54948C3D-058F-4370-83C8-58688E9CADA8};;;editorTroncal;2023/12/14 23:03:59+00;10008;;;;TZ018
-740.960.155.145.355;469.914.792.021.659;5;2103;Mazurén;10.031.385.941;10.153.028.731;CL 152;B;Autonorte;5;1;0;0;4;0;473.458.516;-7.404.921.756;{60A28773-5F3D-43BF-B831-F4057A66E641};;;editorTroncal;2023/12/14 20:33:14+00;4100;;;;TZ005
-740.938.688.766.199;461.168.619.527.402;6;2104;Calle 146;10.030.715.916;10.148.946.251;CL 146;B;Autonorte;3;1;0;0;4;0;473.089.336;-7.404.982.164;{D0ECBA3C-15C3-4BD6-AF72-6784BF12FE09};;;TECNICA;2023/08/15 22:43:40+00;7111;;;;TZ008
-741.087.256.048.565;47.067.438.501.003;7;2105;Calle 142;10.029.952.739;10.144.476.377;CL 142;B;Autonorte;4;1;0;0;4;0;472.685.125;-740.505.097;{91B40CB7-A9D6-4F32-BF8F-0999D9391CEB};;;editorTroncal;2023/12/14 21:39:51+00;4001;;;;TZ005
-740.656.178.330.199;469.039.830.253.579;8;2200;Alcalá;10.028.905.473;10.138.179.858;CL 137;B;Autonorte;3;2;0;0;4;0;47.211.573;-7.405.145.388;{903304A2-2C9D-4637-9280-1FAEE0CA0E35};;;TECNICA;2023/08/15 22:43:40+00;3011;;;;TZ003
-740.713.102.127.949;467.015.567.406.064;9;2201;Prado;10.027.670.626;1.013.088.429;CL 128 B;B;Autonorte;3;1;0;0;4;0;47.145.599;-7.405.256.715;{1DE35685-5378-460A-9841-A6D311113E10};;;TECNICA;2023/08/15 22:43:40+00;7102;;;;TZ008
-740.871.127.746.424;469.395.205.475.174;10;2202;Calle 127;10.025.826.987;10.119.915.179;CL 127;B;Autonorte;2;1;0;0;4;0;47.046.405;-7.405.422.923;{81877016-887A-473C-9034-1BB2769B9E67};;;TECNICA;2023/08/15 22:43:40+00;4102;;;;TZ005
